Statement,Link,Date, Source, Label
Wisconsin elections administrator Meagan Wolfe “refuses to clean up our voter rolls”,https://www.politifact.com/factchecks/2023/nov/08/wisconsin-election-committee-inc/claim-that-wis-elections-official-meagan-wolfe-ref/,ember 8^ 2023,Wisconsin Election Committee^ Inc .,pants-fire
Wisconsin elections administrator Meagan Wolfe “allowed for the use of illegal drop boxes and ballot harvesting.”,https://www.politifact.com/factchecks/2023/nov/08/wisconsin-election-committee-inc/claim-that-wisconsin-official-meagan-wolfe-allowed/,ember 8^ 2023,Wisconsin Election Committee^ Inc .,false
Wisconsin elections administrator Meagan Wolfe “permitted the ‘Zuckerbucks’ influence money.”,https://www.politifact.com/factchecks/2023/nov/08/wisconsin-election-committee-inc/claim-that-wis-elections-official-meagan-wolfe-per/,ember 8^ 2023,Wisconsin Election Committee^ Inc .,pants-fire
“Protesters in Kerala India accidentally brought the Italian flag instead of the Palestine flag to pro-Hamas protest.”,https://www.politifact.com/factchecks/2023/nov/08/viral-image/pro-palestinian-protest-video-shows-flags-of-an-in/,ember 8^ 2023,Viral image,false
New York Attorney General Letitia James said President Joe Biden “is an embarrassment to all that we stand for.”,https://www.politifact.com/factchecks/2023/nov/08/facebook-posts/no-this-video-doesnt-show-new-york-attorney-genera/,ember 8^ 2023,Facebook posts,false
“NASA admits space and planets are fake.”,https://www.politifact.com/factchecks/2023/nov/08/viral-image/no-nasa-didnt-admit-space-and-planets-are-fake/,ember 8^ 2023,Viral image,pants-fire
Video shows late night host Jimmy Fallon interviewing singer Kelly Clarkson about a weight loss product.,https://www.politifact.com/factchecks/2023/nov/08/viral-image/altered-video-appears-to-show-jimmy-fallon-intervi/,ember 8^ 2023,Viral image,false
Video shows California Gov. Gavin Newsom falling down airplane stairs.,https://www.politifact.com/factchecks/2023/nov/08/viral-image/no-gov-gavin-newsom-cant-be-seen-slipping-down-air/,ember 8^ 2023,Viral image,false
“Only in Washington can you cut funding^ add a pay-for to a new spending measure^ and they say it's terrible for the deficit.”,https://www.politifact.com/factchecks/2023/nov/07/mike-johnson/can-the-federal-government-spend-less-yet-still-se/,ember 7^ 2023,Mike Johnson,false
"Over the past four decades^ we’ve lost over 400^000 farms in America (and) over 140 million acres of farmland. And that’s an area roughly equal to the size of Minnesota^ North and South Dakota combined.”,https://www.politifact.com/factchecks/2023/nov/07/joe-biden/did-americans-lose-the-farm-fact-checking-joe-bide/,ember 7^ 2023,Joe Biden,mostly-true
Video shows Hoda Kotb interviewing Kelly Clarkson about “her weight loss journey.”,https://www.politifact.com/factchecks/2023/nov/07/viral-image/altered-videos-appear-to-show-kelly-clarkson-today/,ember 7^ 2023,Viral image,false
Some individuals or businesses in Wisconsin are charging $2 or $2.25 an hour for child care.,https://www.politifact.com/factchecks/2023/nov/07/rachael-cabral-guevara/cabral-guevara-says-some-wisconsin-child-care-prov/,ember 7^ 2023,Rachael Cabral-Guevara^,mostly-true
Video shows “Israel Zionist blowing up people in hospitals” in 2023.,https://www.politifact.com/factchecks/2023/nov/07/viral-image/video-does-not-show-israel-bombing-hospitals-foota/,ember 7^ 2023,Viral image,false
Video shows someone impersonating President Joe Biden visiting Israel in October 2023.,https://www.politifact.com/factchecks/2023/nov/07/viral-image/president-joe-biden-not-an-impersonator-visited-is/,ember 7^ 2023,Viral image,pants-fire
Photos are evidence actor Courteney Cox uses adrenochrome from kidnapped children.,https://www.politifact.com/factchecks/2023/nov/07/instagram-posts/altered-photo-of-actor-courteney-cox-is-not-eviden/,ember 7^ 2023,Instagram posts,pants-fire
Photo shows “American soldiers praying for their country^ for Israel before being deployed to defend Israel” in 2023.,https://www.politifact.com/factchecks/2023/nov/06/facebook-posts/photo-does-not-depict-us-soldiers-praying-before-b/,ember 6^ 2023,Facebook posts,false
Ukrainian President Volodymyr Zelenskyy “has surrendered.”,https://www.politifact.com/factchecks/2023/nov/06/instagram-posts/no-ukrainian-president-volodymyr-zelenskyy-hasnt-s/,ember 6^ 2023,Instagram posts,false
Israel bombed Palestinian children trying to get water.,https://www.politifact.com/factchecks/2023/nov/06/tiktok-posts/video-of-bomb-strike-on-crowd-is-from-sudan-confli/,ember 6^ 2023,TikTok posts,false
Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”,https://www.politifact.com/factchecks/2023/nov/03/protect-women-ohio/no-evidence-that-ohios-issue-1-would-allow-for-lat/,ember 3^ 2023,Protect Women Ohio,false
“Because of our economic policies we now are reducing inflation.”,https://www.politifact.com/factchecks/2023/nov/03/kamala-harris/do-bidens-policies-get-the-credit-for-the-decline/,ember 3^ 2023,Kamala Harris,barely-true
1936 in the United States was “much hotter than 2023.”,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/its-getting-hot-in-here-the-us-is-warmer-now-than/,ember 3^ 2023,Facebook posts,false
Switzerland’s distribution of iodine tablets means the government is worried about nuclear war.,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/switzerland-has-distributed-iodine-tablets-to-resi/,ember 3^ 2023,Facebook posts,false
Video shows “rioters rush people’s houses” Oct. 28 in Washington D.C.,https://www.politifact.com/factchecks/2023/nov/03/viral-image/video-shows-2020-protesters-invited-into-someones/,ember 3^ 2023,Viral image,false
Bill Gates wrote a 2011 article titled “Depopulation Through Forced Vaccination.”,https://www.politifact.com/factchecks/2023/nov/03/viral-image/no-bill-gates-didnt-write-an-article-called-depopu/,ember 3^ 2023,Viral image,false
“New court documents reveal that George Floyd died of a fentanyl overdose.”,https://www.politifact.com/factchecks/2023/nov/03/instagram-posts/no-this-deposition-transcript-doesnt-prove-george/,ember 3^ 2023,Instagram posts,false
U.S. Rep. Mike Johnson is the 45th speaker of the House.,https://www.politifact.com/factchecks/2023/nov/03/facebook-posts/us-rep-mike-johnson-is-the-56th-speaker-of-the-hou/,ember 3^ 2023,Facebook posts,false
Potato chips^ KitKat bars and Viagra are not taxed in Wisconsin because they are considered "essential.",https://www.politifact.com/factchecks/2023/nov/03/melissa-agard/its-true-you-dont-have-to-pay-taxes-on-kit-kat-bar/,ember 3^ 2023,Melissa Agard,true
Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,https://www.politifact.com/factchecks/2023/nov/03/joe-biden/do-republican-spending-cuts-threaten-federal-hiv-f/,ember 3^ 2023,Joe Biden,half-true
Irán izó una bandera negra y “esto significa un llamado” a la guerra o venganza.,https://www.politifact.com/factchecks/2023/nov/02/facebook-posts/un-santuario-en-iran-izo-una-bandera-negra-en-luto/,ember 2^ 2023,Facebook posts,false
“Dr. Fauci doesn’t exist!”,https://www.politifact.com/factchecks/2023/nov/02/instagram-posts/dr-anthony-fauci-exists-contrary-to-social-media-c/,ember 2^ 2023,Instagram posts,pants-fire
